review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
4.7,4.77,4.65,4.83,4.91,4.77,4.67
4.72,4.7,4.79,4.81,4.92,4.84,4.6
4.9,4.93,4.93,4.97,4.95,4.94,4.89
4.21,3.88,4.25,4.69,4.56,4.44,4.38
4.57,4.72,4.46,4.83,4.77,4.83,4.59
4.81,4.85,4.8,4.91,4.89,4.95,4.73
4.76,4.72,4.7,4.83,4.83,4.94,4.59
4.96,4.91,4.86,5.0,5.0,4.91,4.77
4.82,4.87,4.74,4.94,4.87,4.76,4.78
4.5,4.67,4.17,4.92,4.88,4.92,4.46
5.0,5.0,5.0,5.0,4.75,4.75,5.0
4.0,3.92,4.25,4.67,4.75,4.25,4.08
4.82,4.86,4.67,4.9,4.93,4.89,4.72
5.0,4.0,5.0,5.0,5.0,5.0,5.0
4.81,4.83,4.74,4.95,4.98,4.96,4.72
4.57,4.86,4.86,4.86,4.57,4.71,4.57
4.63,4.75,4.74,4.91,4.91,4.85,4.55
4.86,4.95,4.93,4.89,4.96,4.89,4.78
4.74,4.83,4.84,4.9,4.93,4.88,4.65
4.76,4.73,4.77,4.89,4.91,4.91,4.62
4.78,4.75,4.5,5.0,4.92,4.75,4.83
4.51,4.58,4.33,4.73,4.83,4.71,4.5
4.95,4.86,4.95,4.92,4.92,4.89,4.67
4.78,4.7,4.15,4.85,4.88,4.53,4.75
4.76,4.8,4.53,4.88,4.93,4.58,4.78
4.89,4.95,4.9,4.96,4.95,4.96,4.89
4.8,4.88,4.88,4.88,4.88,4.88,4.75
4.79,4.87,4.88,4.89,4.93,4.82,4.67
4.25,4.25,4.75,4.25,5.0,5.0,4.5
4.82,4.87,4.87,4.91,4.74,4.91,4.78
4.73,4.69,4.56,4.85,4.85,4.96,4.54
4.83,4.84,4.92,4.91,4.88,4.95,4.7
4.59,4.66,4.33,4.78,4.81,4.7,4.44
4.4,4.24,4.64,4.71,4.52,4.98,4.23
4.88,5.0,5.0,4.88,4.94,4.88,4.88
4.92,4.92,4.93,4.93,4.96,4.93,4.86
4.91,4.93,4.89,4.97,4.95,4.85,4.82
4.8,4.87,4.82,4.91,4.94,4.9,4.7
4.19,4.39,4.13,4.72,4.58,4.64,4.2
4.92,4.84,4.94,4.97,4.99,4.58,4.85
4.86,4.89,4.78,4.94,4.96,4.95,4.77
4.76,4.79,4.71,4.91,4.96,4.93,4.63
4.34,4.57,4.31,4.86,4.74,4.37,4.23
4.8,4.83,4.45,4.83,4.88,4.62,4.78
4.68,4.81,4.54,4.83,4.8,4.31,4.56
4.76,4.81,4.79,4.89,4.89,4.72,4.67
4.7,4.73,4.54,4.95,4.95,4.81,4.62
4.78,4.83,4.59,4.84,4.77,4.93,4.73
4.78,4.85,4.79,4.8,4.9,4.87,4.74
4.67,4.65,4.71,4.73,4.63,4.92,4.43
4.92,4.92,4.96,4.92,4.96,4.92,4.84
5.0,5.0,5.0,5.0,5.0,5.0,4.5
4.53,4.73,4.4,4.78,4.7,4.75,4.53
4.88,4.83,4.89,4.96,4.96,4.86,4.78
4.6,4.6,4.72,4.9,4.9,4.76,4.54
4.66,4.7,4.61,4.91,4.82,4.97,4.66
4.83,4.85,4.76,4.99,4.98,4.91,4.8
4.84,4.86,4.86,4.8,4.89,4.72,4.75
4.67,4.78,4.82,4.79,4.73,4.91,4.63
4.81,4.86,4.74,4.96,4.97,4.75,4.76
4.73,4.7,4.78,4.9,4.85,4.93,4.73
4.87,4.9,4.9,4.96,4.97,4.93,4.83
4.8,5.0,4.4,5.0,5.0,5.0,4.6
4.78,4.75,4.93,4.93,4.77,4.95,4.68
5.0,4.93,4.83,4.97,4.97,4.97,4.63
5.0,5.0,4.67,5.0,5.0,5.0,4.33
4.98,4.93,4.8,4.96,5.0,4.89,4.67
4.85,4.83,4.79,4.96,4.93,4.96,4.79
4.86,4.87,4.79,4.97,4.95,4.98,4.77
4.89,4.94,4.99,4.96,4.87,4.93,4.77
4.98,4.98,4.96,5.0,4.98,4.99,4.95
4.87,4.92,4.96,4.97,4.97,4.89,4.74
5.0,5.0,4.83,5.0,5.0,4.92,4.75
4.9,4.9,4.72,4.97,4.83,5.0,4.79
4.81,4.95,4.62,4.95,4.89,4.87,4.75
4.74,4.76,4.61,4.9,4.87,4.74,4.71
4.71,4.78,4.67,4.82,4.87,4.93,4.53
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.65,4.79,4.47,4.8,4.85,4.76,4.67
4.14,4.33,3.67,4.33,4.67,4.33,4.0
4.92,4.91,4.88,4.97,4.97,4.96,4.86
4.62,4.43,4.36,4.86,4.79,4.43,4.29
5.0,5.0,4.93,4.93,5.0,4.97,4.97
4.29,4.25,4.01,4.75,4.76,4.86,4.19
4.79,4.73,4.48,4.85,4.96,4.94,4.79
4.87,4.87,4.9,4.9,4.98,4.83,4.79
4.86,4.83,4.71,5.0,5.0,4.74,4.45
4.58,4.75,4.66,4.84,4.83,4.7,4.56
4.79,4.72,4.66,4.88,4.88,4.57,4.68
5.0,5.0,5.0,5.0,5.0,4.75,4.75
4.82,4.88,4.85,4.92,4.94,4.84,4.7
4.6,4.5,4.55,4.75,4.85,4.85,4.4
4.54,4.78,4.08,4.91,4.87,4.96,4.47
4.83,4.84,4.87,4.95,4.94,4.87,4.72
4.8,4.8,4.55,4.78,4.93,5.0,4.6
4.5,5.0,5.0,5.0,4.5,4.75,4.75
4.91,4.93,4.82,4.96,4.98,4.89,4.82
4.78,4.56,5.0,5.0,5.0,4.44,4.56
4.86,4.83,4.9,4.98,5.0,4.44,4.81
4.72,4.83,4.6,4.7,4.83,4.67,4.7
4.81,4.93,4.86,4.93,4.97,4.45,4.72
4.09,4.45,3.82,5.0,4.91,4.73,4.18
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.59,4.63,4.53,4.9,4.9,4.63,4.49
5.0,4.95,5.0,5.0,5.0,4.95,4.9
4.66,4.79,4.76,4.79,4.82,4.76,4.58
4.66,4.76,4.66,4.8,4.77,4.83,4.58
3.63,3.5,4.5,4.25,4.0,4.13,3.75
5.0,5.0,5.0,4.92,5.0,4.83,4.83
4.92,4.81,4.9,4.98,4.98,4.97,4.76
4.92,4.91,4.94,4.95,4.92,4.86,4.79
4.45,4.15,4.49,4.8,4.66,4.51,4.0
4.47,4.35,4.41,4.88,4.65,4.41,4.29
4.57,4.68,4.74,4.89,4.8,4.54,4.53
4.28,4.18,4.35,4.47,4.82,5.0,4.59
4.7,4.66,4.55,4.85,4.83,4.87,4.61
4.98,4.92,4.98,4.98,4.99,4.93,4.79
5.0,5.0,4.9,5.0,5.0,4.7,4.9
4.81,4.77,4.73,4.95,4.98,4.7,4.7
4.67,4.64,4.36,4.93,4.93,4.21,4.36
5.0,5.0,4.5,5.0,5.0,5.0,5.0
4.81,5.0,4.81,4.94,4.88,4.88,4.94
4.64,4.84,4.71,4.95,4.92,4.92,4.51
4.8,4.6,5.0,5.0,4.4,4.2,4.6
4.79,4.89,4.74,4.96,4.93,4.96,4.46
4.8,4.0,4.6,5.0,5.0,4.75,4.6
4.71,4.38,4.95,4.83,4.79,4.89,4.49
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.95,4.95,4.9,4.9,4.95,4.81,4.76
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.67,4.5,4.0,5.0,5.0,5.0,4.0
4.56,4.42,4.8,4.9,4.88,4.88,4.56
4.71,4.76,4.56,4.79,4.71,4.76,4.6
4.95,4.95,4.88,4.95,4.98,4.98,4.93
4.94,4.89,4.94,4.94,5.0,5.0,4.75
4.85,4.98,4.76,4.96,4.98,4.98,4.85
4.93,4.91,4.93,4.98,4.93,4.77,4.79
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.8,5.0,5.0,5.0,5.0,5.0,4.8
4.92,4.92,4.92,4.98,5.0,4.5,4.86
4.93,5.0,4.87,5.0,5.0,5.0,4.87
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.91,4.89,4.63,4.95,4.99,4.94,4.82
4.93,4.87,4.82,4.91,4.91,4.89,4.8
4.8,4.4,4.8,5.0,5.0,5.0,4.2
4.63,5.0,4.63,5.0,5.0,4.63,4.69
4.97,4.92,4.91,4.97,4.96,4.94,4.82
4.17,4.2,3.8,4.67,4.6,3.5,4.33
4.58,4.7,4.6,4.74,4.76,4.98,4.56
5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.95,4.93,4.98,4.97,4.94,4.83,4.91
4.48,4.62,4.39,4.88,4.9,4.82,4.54
4.91,4.85,4.92,4.77,4.77,4.85,4.69
