latitude,longitude,accommodates,beds,bathrooms,half_bathrooms,shared_bathrooms,room_type_Entire_home/apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room,price
-22.96599,-43.1794,5,2.0,1,0,0,1,0,0,0,1357.0
-22.97735,-43.19105,3,1.0,1,0,0,1,0,0,0,865.0
-22.98107,-43.19136,2,1.0,1,1,0,1,0,0,0,373.0
-22.96825,-43.18237,4,1.0,1,0,0,1,0,0,0,366.0
-22.97696,-43.18933,5,3.0,2,0,0,1,0,0,0,368.0
-22.9399,-43.17676,2,1.0,1,0,0,0,0,1,0,734.0
-22.98591,-43.20302,13,7.0,7,0,0,1,0,0,0,6604.0
-22.94373,-43.19147,4,1.0,1,0,1,0,0,1,0,300.0
-22.91666,-43.17947,4,2.0,1,0,0,1,0,0,0,254.0
-22.96574,-43.17514,9,5.0,3,0,0,1,0,0,0,2566.0
-22.9288,-43.24046,2,1.0,1,0,0,0,0,1,0,220.0
-22.98246,-43.19376,2,2.0,2,1,0,0,0,1,0,300.0
-22.92129,-43.18193,16,16.0,5,0,0,1,0,0,0,5874.0
-22.9791,-43.19008,3,1.0,1,0,0,1,0,0,0,409.0
-22.92286,-43.1879,6,5.0,3,0,0,1,0,0,0,1250.0
-22.9828,-43.20467,2,1.0,1,0,0,1,0,0,0,779.0
-23.00451,-43.30873,14,10.0,7,0,0,1,0,0,0,3500.0
-22.97923,-43.18902,2,1.0,1,0,0,1,0,0,0,500.0
-22.969053,-43.388355,3,1.0,1,0,0,1,0,0,0,437.0
-22.98238,-43.19215,4,1.0,1,0,0,1,0,0,0,500.0
-22.96547,-43.23666,2,1.0,1,0,0,0,0,1,0,972.0
-22.981731,-43.190571,2,1.0,1,0,0,1,0,0,0,794.0
-22.9789,-43.22399,1,1.0,1,0,1,0,0,1,0,105.0
-23.00809,-43.29113,10,6.0,4,0,0,1,0,0,0,2893.0
-22.92879,-43.19474,3,7.0,5,0,0,0,0,1,0,186.0
-22.92691,-43.19309,3,7.0,5,0,0,0,0,1,0,169.0
-22.96488,-43.17478,5,4.0,1,0,0,1,0,0,0,1074.0
-22.92972,-43.17488,6,4.0,2,0,0,1,0,0,0,1300.0
-22.96386,-43.17757,8,4.0,2,0,0,1,0,0,0,1083.0
-22.97009,-43.18231,4,2.0,1,0,0,1,0,0,0,2348.0
-22.97946,-43.19211,5,3.0,1,0,0,1,0,0,0,793.0
-23.01147,-43.36394,4,2.0,1,0,0,0,0,1,0,2411.0
-22.98169,-43.2028,6,4.0,2,1,0,1,0,0,0,1600.0
-22.98173,-43.2247,4,4.0,1,0,0,1,0,0,0,680.0
-22.96434,-43.17563,4,2.0,1,0,0,1,0,0,0,877.0
-22.98599,-43.20299,6,7.0,7,0,0,1,0,0,0,6500.0
-22.96704,-43.18201,4,2.0,1,0,0,1,0,0,0,443.0
-22.96392,-43.17263,2,2.0,1,0,0,1,0,0,0,497.0
-22.9824,-43.19593,2,1.0,1,0,0,1,0,0,0,696.0
-22.84208,-43.31572,2,1.0,1,0,0,0,0,1,0,313.0
-22.95665,-43.18481,4,2.0,3,0,0,1,0,0,0,734.0
-22.9854,-43.19602,5,5.0,2,0,0,1,0,0,0,1293.0
-22.96654,-43.18248,4,1.0,1,0,0,1,0,0,0,379.0
-22.9172,-43.17812,2,1.0,1,1,0,0,0,1,0,184.0
-22.98287,-43.18972,6,4.0,2,0,0,1,0,0,0,981.0
-22.9851,-43.1932,3,1.0,1,0,0,1,0,0,0,543.0
-22.98192,-43.19397,12,8.0,4,0,0,1,0,0,0,3101.0
-22.92742,-43.19464,3,10.0,5,0,5,0,0,1,0,169.0
-22.91258,-43.18902,1,1.0,1,0,0,1,0,0,0,1000.0
-22.98029,-43.19054,4,2.0,1,1,0,1,0,0,0,1100.0
-22.976,-43.18838,4,2.0,2,1,0,1,0,0,0,607.0
-22.98127,-43.18946,3,2.0,1,0,0,1,0,0,0,949.0
-22.9835398,-43.2160536,4,2.0,1,0,0,1,0,0,0,674.0
-22.97668,-43.19735,4,3.0,2,1,0,1,0,0,0,1475.0
-22.98127,-43.19215,2,1.0,3,0,0,0,0,1,0,500.0
-22.98174,-43.19039,2,1.0,1,0,0,1,0,0,0,550.0
-22.93527,-43.17834,2,1.0,1,1,0,0,0,1,0,978.0
-22.96794,-43.18969,2,1.0,1,0,1,0,0,1,0,276.0
-22.97293,-43.38321,2,2.0,2,0,0,0,0,1,0,723.0
-22.96341,-43.17526,3,3.0,1,0,0,1,0,0,0,614.0
-22.98339,-43.21436,4,3.0,1,0,0,1,0,0,0,349.0
-22.97369,-43.19022,2,1.0,1,0,0,1,0,0,0,693.0
-22.9792,-43.1901,3,3.0,1,0,0,1,0,0,0,560.0
-22.97794,-43.18969,3,2.0,1,0,0,1,0,0,0,1194.0
-22.91742,-43.1833,2,1.0,1,0,0,1,0,0,0,471.0
-22.96102,-43.16858,2,1.0,1,0,0,0,0,1,0,216.0
-22.96689,-43.1805,2,1.0,1,0,0,1,0,0,0,775.0
-23.01524,-43.30342,2,1.0,1,1,0,1,0,0,0,500.0
-22.9754828,-43.188548,3,3.0,1,0,0,1,0,0,0,689.0
-23.01469,-43.3008,3,2.0,2,1,0,1,0,0,0,2000.0
-22.95508,-43.18251,2,1.0,1,0,0,1,0,0,0,250.0
-23.00291,-43.39086,2,1.0,1,1,0,1,0,0,0,253.0
-22.98657,-43.19549,4,3.0,2,0,0,1,0,0,0,606.0
-22.98485,-43.1972,5,3.0,2,0,0,1,0,0,0,568.0
-22.98088,-43.20042,2,1.0,1,0,1,0,0,1,0,196.0
-22.98419,-43.19254,6,7.0,1,1,0,1,0,0,0,350.0
-22.96554,-43.17655,2,1.0,1,0,0,1,0,0,0,815.0
-22.97256,-43.18948,2,2.0,1,0,0,0,0,1,0,141.0
-22.98493936622346,-43.2061967147764,1,1.0,1,0,0,0,0,1,0,360.0
-23.01124,-43.37081,4,1.0,1,0,0,1,0,0,0,580.0
-22.9114,-43.17583,4,1.0,1,0,0,1,0,0,0,250.0
-22.980856,-43.2206,8,4.0,2,0,0,1,0,0,0,423.0
-22.92099,-43.18884,4,3.0,1,0,0,1,0,0,0,500.0
-22.9813,-43.19217,6,3.0,2,1,0,1,0,0,0,1951.0
-22.99508,-43.23604,4,2.0,1,0,0,1,0,0,0,236.0
-22.9623,-43.17389,4,1.0,1,0,0,1,0,0,0,602.0
-22.94169,-43.18703,2,2.0,1,0,1,0,0,1,0,540.0
-22.9675,-43.18666,2,2.0,1,0,1,0,0,1,0,729.0
-22.98632,-43.22936,6,3.0,3,1,0,1,0,0,0,4892.0
-22.96714,-43.18372,6,4.0,1,0,0,1,0,0,0,1383.0
-23.03154,-43.47437,2,2.0,1,1,0,0,0,1,0,267.0
-22.93974,-43.17496,3,3.0,2,1,3,0,0,1,0,306.0
-22.96612,-43.21899,2,1.0,1,0,0,0,0,1,0,193.0
-22.91491,-43.18296,3,2.0,1,0,0,1,0,0,0,381.0
-22.98812,-43.22897,5,3.0,1,0,0,1,0,0,0,446.0
-22.91825,-43.17872,1,1.0,1,0,0,0,0,1,0,60.0
-22.97542,-43.19857,6,6.0,2,0,0,1,0,0,0,1250.0
-22.98332,-43.1911,4,2.0,1,1,0,1,0,0,0,800.0
-22.97343,-43.1902,4,2.0,1,0,0,1,0,0,0,119.0
-22.90559,-43.20979,2,2.0,2,0,0,0,0,1,0,340.0
-22.97258,-43.1883,6,5.0,2,0,0,1,0,0,0,2029.0
-22.98161,-43.22189,6,5.0,2,1,0,1,0,0,0,539.0
-22.91709,-43.18068,1,1.0,1,0,0,0,0,1,0,69.0
-22.91984,-43.1865,3,2.0,1,0,0,1,0,0,0,273.0
-23.00744,-43.43045,4,2.0,1,0,0,1,0,0,0,650.0
-22.98069,-43.19277,2,1.0,1,0,0,1,0,0,0,768.0
-22.94265,-43.18768,2,1.0,2,0,2,0,0,1,0,400.0
-22.98069,-43.19277,4,2.0,1,0,0,1,0,0,0,705.0
-22.96697,-43.18053,2,2.0,1,1,0,1,0,0,0,500.0
-22.91889,-43.18038,1,1.0,1,0,0,0,0,1,0,59.0
-22.91424,-43.18059,3,3.0,1,0,0,1,0,0,0,286.0
-22.97406,-43.20676,4,2.0,2,0,0,1,0,0,0,800.0
-22.9365,-43.17868,2,1.0,1,0,0,1,0,0,0,396.0
-22.98314,-43.19086,4,2.0,1,0,0,1,0,0,0,532.0
-22.98277,-43.1936,10,8.0,2,0,0,1,0,0,0,1000.0
-22.95411,-43.19469,1,1.0,1,0,1,0,0,1,0,250.0
-22.98697,-43.19751,6,7.0,3,0,0,1,0,0,0,4479.0
-22.95733,-43.2031,6,5.0,1,1,0,1,0,0,0,771.0
-22.961776553330363,-43.17607759712209,4,2.0,1,0,0,1,0,0,0,8886.0
-22.98752,-43.31505,13,11.0,4,1,0,1,0,0,0,5018.0
-22.9619,-43.1749,2,1.0,1,0,0,1,0,0,0,786.0
-22.98434,-43.20793,6,4.0,2,0,0,1,0,0,0,850.0
-22.9696,-43.1887,2,1.0,1,0,0,1,0,0,0,670.0
-22.98114,-43.23899,2,1.0,1,0,1,0,0,1,0,300.0
-22.93359,-43.17734,2,1.0,1,0,0,1,0,0,0,800.0
-22.97957,-43.22572,6,2.0,2,0,0,1,0,0,0,1530.0
-22.99465,-43.27292,4,3.0,1,0,0,1,0,0,0,193.0
-22.995813369750977,-43.26896286010742,2,1.0,1,0,0,0,0,1,0,175.0
-22.96633,-43.17754,4,2.0,0,0,0,0,0,1,0,693.0
-22.8957679,-43.3538124,2,1.0,1,0,1,0,0,1,0,671.0
-22.96633,-43.17754,3,2.0,1,0,0,0,0,1,0,800.0
-22.98479,-43.19978,2,1.0,1,0,0,1,0,0,0,583.0
-22.98463,-43.19917,2,1.0,1,0,0,1,0,0,0,340.0
-22.97575,-43.18877,1,2.0,0,0,0,1,0,0,0,319.0
-22.93707,-43.19071,2,2.0,2,0,0,0,0,1,0,150.0
-22.96745,-43.17654,3,2.0,0,0,0,0,0,1,0,529.0
-22.98282,-43.18935,2,2.0,1,0,0,0,0,1,0,1490.0
-22.96295,-43.1676,2,2.0,1,0,0,0,0,1,0,109.0
-22.92114,-43.17481,1,2.0,1,0,0,0,0,1,0,200.0
-22.91882,-43.17828,1,1.0,2,0,0,0,0,1,0,167.0
-22.98251,-43.22108,5,4.0,2,0,0,1,0,0,0,3600.0
-22.98175,-43.22492,4,3.0,1,0,0,1,0,0,0,500.0
-22.97237,-43.18761,4,2.0,1,0,0,1,0,0,0,969.0
-22.95756,-43.20506,1,1.0,1,0,0,0,0,1,0,206.0
-22.96633,-43.17754,2,2.0,1,0,1,0,0,1,0,471.0
-22.98069,-43.19277,4,2.0,1,0,0,1,0,0,0,1062.0
-22.952841,-43.168194,4,3.0,1,0,0,1,0,0,0,516.0
-22.97366,-43.20493,4,2.0,2,0,0,1,0,0,0,2411.0
-22.99124,-43.47979,2,2.0,1,0,0,0,0,1,0,410.0
-22.95454,-43.17442,4,2.0,2,0,0,1,0,0,0,1160.0
-22.98115,-43.19109,1,1.0,1,1,1,0,0,1,0,452.0
-22.97566,-43.18893,4,2.0,1,0,0,1,0,0,0,749.0
-22.96343,-43.1905,4,1.0,1,0,0,1,0,0,0,2583.0
-22.96849,-43.18863,3,2.0,1,0,1,0,0,1,0,273.0
-22.90022,-43.18302,2,2.0,1,0,1,0,0,1,0,130.0
-22.96886,-43.18071,4,2.0,1,0,0,1,0,0,0,587.0
-22.96148,-43.20038,2,2.0,1,1,0,0,0,1,0,637.0
-22.93615,-43.1803,2,1.0,1,0,0,1,0,0,0,147.0
-22.9409,-43.19129,5,3.0,1,1,0,1,0,0,0,300.0
-22.97275,-43.41337,4,2.0,1,0,0,1,0,0,0,500.0
-22.94664,-43.18558,2,1.0,1,1,2,0,0,1,0,57.0
-22.97888,-43.18997,5,4.0,2,0,0,1,0,0,0,1645.0
-22.98495,-43.1926,2,1.0,1,0,0,0,0,1,0,340.0
-22.97854,-43.1904,4,2.0,1,0,0,1,0,0,0,646.0
-22.95026,-43.26246,8,7.0,4,1,0,1,0,0,0,1900.0
-22.98413,-43.19235,2,1.0,1,0,1,0,0,1,0,452.0
-23.00705,-43.32212,4,2.0,2,0,0,1,0,0,0,1243.0
-22.98253,-43.19014,3,1.0,2,0,0,1,0,0,0,898.0
-22.96614,-43.18401,4,3.0,1,0,0,1,0,0,0,550.0
-22.91735,-43.18133,3,2.0,1,0,0,1,0,0,0,249.0
-22.9869,-43.19286,5,2.0,1,0,0,1,0,0,0,877.0
-22.98588782670933,-43.19643187522887,4,5.0,2,0,0,1,0,0,0,1179.0
-22.97064,-43.18496,3,2.0,1,0,0,1,0,0,0,571.0
-23.0102,-43.37246,1,1.0,1,0,1,0,0,1,0,400.0
