,id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,17878,311,29,4,2010-07-15,2023-12-22,4.7,4.77,4.65,4.83,4.91,4.77,4.67,1.9
1,25026,275,29,2,2010-06-07,2023-12-03,4.72,4.7,4.79,4.81,4.92,4.84,4.6,1.67
2,35764,454,36,2,2010-10-03,2023-12-17,4.9,4.93,4.93,4.97,4.95,4.94,4.89,2.82
3,41198,17,0,0,2013-06-04,2016-02-09,4.21,3.88,4.25,4.69,4.56,4.44,4.38,0.13
4,326205,152,14,0,2012-04-18,2023-11-21,4.57,4.72,4.46,4.83,4.77,4.83,4.59,1.07
5,326575,227,12,0,2012-03-19,2023-11-21,4.81,4.85,4.8,4.91,4.89,4.95,4.73,1.58
6,216461,0,0,0,,,,,,,,,,
7,48305,163,36,3,2011-03-02,2023-12-10,4.76,4.72,4.7,4.83,4.83,4.94,4.59,1.04
8,216700,24,3,0,2012-06-18,2023-11-05,4.96,4.91,4.86,5.0,5.0,4.91,4.77,0.17
9,219250,431,25,2,2012-06-11,2023-12-11,4.82,4.87,4.74,4.94,4.87,4.76,4.78,3.07
10,48901,24,16,2,2015-08-01,2023-12-11,4.5,4.67,4.17,4.92,4.88,4.92,4.46,0.23
11,220377,4,0,0,2011-11-08,2017-04-06,5.0,5.0,5.0,5.0,4.75,4.75,5.0,0.03
12,220705,0,0,0,,,,,,,,,,
13,327375,12,0,0,2012-06-25,2020-02-25,4.0,3.92,4.25,4.67,4.75,4.25,4.08,0.09
14,49179,156,28,2,2012-11-24,2023-12-19,4.82,4.86,4.67,4.9,4.93,4.89,4.72,1.15
15,328626,1,0,0,2012-02-21,2012-02-21,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.01
16,223073,463,26,2,2011-10-06,2023-12-20,4.81,4.83,4.74,4.95,4.98,4.96,4.72,3.11
17,50759,7,0,0,2015-11-27,2017-01-08,4.57,4.86,4.86,4.86,4.57,4.71,4.57,0.07
18,230989,153,23,1,2011-11-08,2023-12-04,4.63,4.75,4.74,4.91,4.91,4.85,4.55,1.03
19,231105,111,13,1,2013-09-23,2023-12-12,4.86,4.95,4.93,4.89,4.96,4.89,4.78,0.89
20,231497,82,13,0,2011-11-17,2023-11-21,4.74,4.83,4.84,4.9,4.93,4.88,4.65,0.56
21,329615,0,0,0,,,,,,,,,,
22,51703,257,31,0,2012-08-08,2023-11-22,4.76,4.73,4.77,4.89,4.91,4.91,4.62,1.85
23,330913,12,0,0,2012-04-12,2013-07-21,4.78,4.75,4.5,5.0,4.92,4.75,4.83,0.08
24,331088,53,4,0,2012-02-20,2023-10-29,4.51,4.58,4.33,4.73,4.83,4.71,4.5,0.37
25,53533,37,10,0,2011-11-27,2023-11-12,4.95,4.86,4.95,4.92,4.92,4.89,4.67,0.25
26,332150,78,8,0,2012-10-30,2023-11-03,4.78,4.7,4.15,4.85,4.88,4.53,4.75,0.57
27,332151,42,4,0,2013-11-25,2023-10-30,4.76,4.8,4.53,4.88,4.93,4.58,4.78,0.34
28,236991,84,27,1,2014-03-03,2023-12-22,4.89,4.95,4.9,4.96,4.95,4.96,4.89,0.7
29,60718,11,3,0,2011-01-05,2023-11-24,4.8,4.88,4.88,4.88,4.88,4.88,4.75,0.07
30,238802,106,34,0,2011-11-17,2023-11-27,4.79,4.87,4.88,4.89,4.93,4.82,4.67,0.72
31,333305,4,0,0,2016-01-01,2016-08-24,4.25,4.25,4.75,4.25,5.0,5.0,4.5,0.04
32,336502,24,22,2,2012-03-11,2023-12-14,4.82,4.87,4.87,4.91,4.74,4.91,4.78,0.17
33,337345,0,0,0,,,,,,,,,,
34,64795,70,22,0,2011-03-09,2023-11-22,4.73,4.69,4.56,4.85,4.85,4.96,4.54,0.45
35,340432,236,29,3,2012-04-15,2023-12-13,4.83,4.84,4.92,4.91,4.88,4.95,4.7,1.66
36,239531,113,16,0,2011-12-08,2023-11-20,4.59,4.66,4.33,4.78,4.81,4.7,4.44,0.77
